Year,Buildings & Land Use,"Energy, Manufacturing & Construction",Industrial Processes & Product Use,Other,Transport,Waste,Total,Population,"Gross Domestic Product
(current Ƥ)",Land Area (sq KM),"Forested Land
(sq KM)",Percent of Population in Urban Areas (1MM+),Energy Use (kg of oil equivalent per capita),"Renewable Energy Consumption
(percent of total energy consumption)",Built-up Land,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total
1995,"169,706,192","436,579,818","59,125,371","3,347,298","83,198,501","33,312,712","785,269,891","16,345,719","246,182,773,588","154,462","40,156",20.6%,"23,991",11.2%,"1,989,580","43,954,613","3,130,683","35,747,707","5,276,812","90,099,394","1,997,475","75,978,304","46,231,788","2,472,861","12,596,171","8,639,545","147,916,143"
1996,"170,371,160","423,584,465","59,019,632","3,351,751","89,716,622","34,662,241","780,705,871","16,493,718","253,381,983,911","154,617","39,641",20.8%,"24,632",10.7%,"2,039,590","45,490,295","3,153,634","35,360,893","5,215,857","91,260,268","2,037,562","83,241,620","47,935,750","2,521,117","13,674,934","7,883,885","157,294,869"
1997,"167,906,243","440,190,763","58,911,094","3,313,898","88,109,225","36,022,921","794,454,145","16,640,776","242,782,614,997","154,927","39,250",21.3%,"24,371",11.0%,"1,989,642","43,856,873","3,145,282","35,791,176","5,201,948","89,984,922","2,003,542","85,894,987","46,429,637","2,385,382","13,573,273","7,205,917","157,492,737"
1998,"153,162,254","439,168,688","58,730,603","3,279,965","88,080,485","38,268,386","780,690,381","16,790,652","271,954,341,621","156,492","39,646",21.2%,"23,947",11.6%,"2,302,173","50,319,750","3,160,203","35,890,322","5,273,759","96,946,206","2,304,468","83,928,806","52,015,041","2,774,182","14,054,121","7,379,634","162,456,251"
1999,"154,007,103","426,456,851","57,195,582","3,259,284","93,043,820","39,838,825","773,801,464","16,937,848","266,318,929,758","158,073","39,967",21.6%,"24,013",11.5%,"2,104,555","45,198,252","3,128,730","35,879,456","5,299,612","91,610,605","2,127,682","81,231,834","45,102,267","2,599,054","14,310,795","6,776,620","152,148,252"
2000,"184,596,397","528,713,914","76,775,587","3,985,833","122,293,440","45,529,810","961,894,982","17,035,279","264,074,332,285","158,548","39,967",22.0%,"24,725",11.1%,"2,164,484","45,593,295","3,063,896","34,430,367","5,164,139","90,416,181","2,149,468","86,413,441","48,335,267","2,228,303","15,086,123","6,744,796","160,957,398"
2001,"168,933,058","509,235,107","74,857,204","3,752,470","121,986,756","46,640,037","925,404,633","17,182,672","250,126,957,198","158,548","39,650",22.2%,"25,109",11.2%,"2,128,639","43,545,856","3,084,323","35,161,937","5,134,081","89,054,836","2,156,339","72,351,477","43,944,700","2,355,533","13,167,333","5,915,585","139,890,966"
2002,"169,478,084","510,822,181","76,089,113","3,866,299","126,795,640","48,621,483","935,672,800","17,333,366","269,570,675,136","159,666","39,889",22.8%,"25,174",11.3%,"2,207,997","46,397,861","3,109,308","34,452,679","5,136,961","91,304,806","2,232,334","82,480,965","48,524,787","2,158,481","14,617,350","6,019,551","156,033,467"
2003,"178,237,551","531,056,997","78,357,743","3,979,655","131,679,711","50,200,855","973,512,511","17,480,485","324,058,292,399","160,630","40,050",22.9%,"26,140",10.8%,"2,121,758","43,956,218","3,055,359","34,839,927","5,105,884","89,079,146","2,128,085","87,671,940","46,703,056","2,106,675","14,901,896","6,035,620","159,547,272"
2004,"179,612,974","548,457,462","82,186,448","4,028,545","140,439,153","52,033,582","1,006,758,165","17,623,624","384,336,323,906","161,437","40,091",23.4%,"27,002",11.1%,"2,324,541","46,783,139","3,080,770","34,768,166","5,068,885","92,025,501","2,317,623","89,823,829","50,172,874","2,347,933","16,327,593","5,119,234","166,109,085"
