Company ID,Sector,Location,2019*,2018,2017,2016,2015
0012-6735-4220-33,I,6530,0,"511,264","532,739","543,480","551,692"
0015-0618-8601-80,I,8696,"466,571","582,882","526,736","537,356","545,476"
0018-5122-9125-59,I,2682,"116,111","99,157","110,109","112,329","114,026"
0019-9918-1580-50,I,2121,"9,597","10,250","11,451","11,682","11,858"
0021-2508-2259-91,I,4651,"16,399","18,027","19,387","19,778","20,077"
0021-5825-1262-77,I,5219,"10,116","10,507","11,570",0,"11,982"
0021-9255-0060-00,I,2603,940,"1,017","1,566","1,598","1,622"
0023-3706-5970-00,I,8672,"9,674","10,061","10,759","10,976","11,142"
0023-6030-6850-00,I,6474,0,0,0,0,0
0024-7657-1790-00,I,6479,0,0,0,0,0
0025-0403-0964-25,I,7175,"16,466","18,604","16,999","17,342","17,604"
0026-4494-1440-00,I,6629,"17,241","15,778","13,667","13,943","14,153"
0028-1861-7640-00,I,9550,"276,466","278,631",0,"326,862",0
0028-3996-0069-66,I,3316,"13,058","14,232",0,"14,212","14,427"
0028-6459-5430-00,I,7322,"9,822","10,086",0,"10,237","10,392"
0029-4257-7423-33,E,2651,0,0,0,0,0
0029-9395-5952-85,I,8294,"33,085","32,307","26,900","27,442","27,857"
0030-1695-7440-00,I,3614,"9,708","10,024","10,725","10,941","11,107"
0030-4721-4380-00,I,8177,0,0,0,0,0
0031-4141-3890-00,I,8620,"11,724","19,524","32,463","33,118","33,618"
0032-5177-9600-00,I,2622,"11,726","11,433","12,049","12,292","12,478"
0048-7178-3199-42,W,2285,"208,755","194,553","225,787","229,434","232,971"
0064-8976-1340-34,E,3268,0,0,0,0,0
0065-9225-6257-19,I,1546,"6,128","7,050","8,389","8,558","8,687"
0070-4725-2916-23,I,3564,"4,660","4,864",0,0,0
0076-2553-3170-95,E,6496,"14,471","9,601","5,454","5,542","5,694"
0095-3674-5426-90,T,3254,"243,909","10,042",0,"1,159,406","1,143,858"
0118-0698-0401-07,I,3262,0,0,0,"404,041",0
0119-0445-5599-32,I,2855,"182,887","205,357","182,791","186,476","189,294"
0119-5694-2895-37,I,2692,0,0,0,0,0
0122-6787-0788-46,I,2122,"7,054","6,839",0,"7,911","8,031"
0122-7664-1040-00,I,2210,"6,469","6,089","7,143","7,287","7,397"
0123-8674-9690-00,I,2834,0,0,0,0,0
0125-1260-3424-69,I,2549,"5,095",0,"5,565","5,677","5,763"
0126-8612-7280-00,I,2696,"1,020,256","1,007,244","1,260,926","1,286,348","1,305,786"
0127-4809-3610-00,I,3377,"6,399","7,139","7,556","7,708","7,825"
0131-8341-9740-00,I,2240,"6,484","6,777","6,829","6,967","7,072"
0132-3430-9240-00,I,8116,0,0,0,0,0
0133-1571-2260-00,I,7341,0,0,0,0,0
0133-2354-8330-00,I,2873,"13,000","11,140","11,247","11,474","11,647"
0149-8885-3727-77,W,2647,0,0,0,0,0
0164-6095-2546-53,I,2553,"3,674","2,918","5,362","5,470","5,553"
0173-4444-0961-98,I,3638,0,0,0,0,0
0176-3525-1407-73,E,6459,"62,584","44,360","46,890","47,643","48,950"
0204-4046-6250-39,O,2231,"53,672","36,371","25,864","26,282","26,687"
0216-1334-8753-02,O,6474,"7,406",0,0,0,0
0217-4415-4366-82,I,6607,"9,296",445,"3,666","3,740","3,796"
0218-8584-9863-60,I,2245,0,0,0,0,0
0220-0640-6362-07,I,2207,"5,498","7,062","9,617","9,811","9,959"
0221-8547-4900-00,I,2883,"5,674","6,472","6,360","6,488",0
0222-7847-8900-00,I,3370,0,"103,311","110,153","112,374",0
0224-0824-4607-72,I,2505,"3,931","4,570",0,"4,744",0
0225-1414-5287-12,I,3393,"290,077","289,147","302,009","308,098","312,754"
0225-9106-7880-00,I,7369,"252,947",0,0,"260,746","264,686"
0230-5725-9243-76,I,6408,"6,334","6,371","6,311","6,438",0
0233-3791-5950-00,I,3155,"154,374",0,"169,834","173,258","175,876"
0243-8903-2300-00,W,7303,"177,438","205,174",0,"198,576","201,637"
0318-6046-8176-96,I,1518,"22,137","46,162","58,907","60,095","61,003"
0319-9658-1580-00,I,8343,"6,891","7,552","7,262","7,408","7,520"
0321-1275-1022-85,I,6422,"5,816","11,995","13,030","13,293","13,494"
0321-1638-3980-00,I,2177,"4,823","5,805",0,"6,324","6,420"
0322-8375-5600-00,I,5516,0,0,0,0,0
0323-0597-8750-00,I,3657,"42,812","47,808","69,943","71,353","72,431"
0324-0033-6580-00,I,8611,"17,153","16,842","14,184","14,470","14,689"
0326-5425-9570-00,I,4245,"53,279","67,253","69,843","71,251","72,328"
0327-7789-9214-46,I,8694,"2,774","5,145",0,0,0
0327-9834-0520-00,I,1502,0,0,"4,101","4,184","4,247"
0328-3316-6578-22,I,3240,0,0,0,0,0
0334-0816-2980-00,I,2164,"14,259","13,339","10,513","10,725",0
0334-6880-5210-00,I,2681,"6,644","7,160","7,715","7,871","7,989"
0346-2390-7561-68,W,2232,"13,531","15,060","17,957","18,247","18,528"
0354-3530-0476-05,I,8291,389,"7,568","11,106","11,330","11,501"
0358-0943-0221-95,I,6411,"6,449","6,809","7,477",0,"7,743"
0361-8721-0386-40,I,2149,0,0,0,0,0
0363-6840-8417-93,I,3379,"8,081","15,869","15,687","16,003","16,245"
0364-5592-0613-29,E,6491,0,0,0,0,0
0385-4122-7484-39,E,7317,0,"40,268","36,173","36,754","37,762"
0418-8676-2640-80,I,3554,0,"5,021","5,604","5,717","5,803"
0419-6837-8895-76,I,5682,"11,250","12,894","13,137","13,402","13,604"
0421-5538-3492-41,I,2130,"35,017",0,"25,919","26,442","26,841"
0422-3033-6313-56,I,1657,379,0,"3,251",0,"3,367"
0423-9377-5180-00,I,6472,"10,782",0,"13,901","14,181","14,396"
0426-1484-2460-00,I,2595,"2,258","4,210","7,482","7,633","7,748"
0426-3202-6510-00,I,3544,"23,917","26,546","26,655","27,192","27,603"
0427-7469-2705-90,I,2202,0,0,0,0,0
0428-3499-6363-04,I,8675,0,"30,334","30,504","31,119","31,589"
0429-8244-7365-71,I,5689,"9,171","8,905","9,788","9,985","10,136"
0430-1644-9903-96,I,3356,"25,428",0,"30,779","31,400","31,874"
